user_id,segment
1,new
2,returning
3,returning
4,new
5,new
6,new
7,new
8,returning
9,returning
10,returning
11,new
12,returning
13,returning
14,new
15,new
16,new
17,new
18,new
19,new
20,new
21,returning
22,new
23,new
24,new
25,new
26,returning
27,new
28,new
29,new
30,new
31,returning
32,new
33,new
34,returning
35,returning
36,returning
37,new
38,new
39,returning
40,new
41,new
42,new
43,new
44,returning
45,new
46,returning
47,new
48,new
49,new
50,new
51,returning
52,returning
53,returning
54,returning
55,new
56,returning
57,new
58,new
59,new
60,new
61,new
62,new
63,returning
64,new
65,new
66,new
67,new
68,returning
69,new
70,returning
71,returning
72,new
73,new
74,returning
75,returning
76,returning
77,returning
78,new
79,new
80,new
81,returning
82,returning
83,new
84,new
85,new
86,new
87,returning
88,returning
89,returning
90,new
91,new
92,returning
93,returning
94,new
95,returning
96,new
97,new
98,new
99,new
100,new
101,new
102,returning
103,new
104,new
105,returning
106,new
107,new
108,returning
109,new
110,new
111,new
112,new
113,returning
114,returning
115,returning
116,returning
117,returning
118,new
119,returning
120,new
121,returning
122,returning
123,new
124,new
125,new
126,new
127,returning
128,returning
129,new
130,new
131,new
132,new
133,new
134,new
135,returning
136,new
137,new
138,returning
139,new
140,returning
141,returning
142,new
143,new
144,new
145,new
146,new
147,returning
148,new
149,new
150,new
151,returning
152,new
153,new
154,new
155,returning
156,new
157,returning
158,returning
159,new
160,returning
161,new
162,returning
163,returning
164,new
165,new
166,returning
167,new
168,new
169,new
170,new
171,returning
172,new
173,new
174,new
175,returning
176,new
177,returning
178,new
179,returning
180,new
181,new
182,new
183,returning
184,returning
185,new
186,returning
187,returning
188,new
189,new
190,new
191,new
192,returning
193,returning
194,returning
195,new
196,new
197,returning
198,returning
199,returning
200,returning
201,returning
202,new
203,new
204,returning
205,returning
206,new
207,new
208,returning
209,new
210,new
211,new
212,returning
213,returning
214,new
215,returning
216,new
217,new
218,returning
219,returning
220,returning
221,returning
222,new
223,new
224,new
225,new
226,new
227,returning
228,new
229,returning
230,returning
231,returning
232,new
233,new
234,new
235,new
236,returning
237,new
238,new
239,returning
240,new
241,returning
242,returning
243,returning
244,new
245,new
246,returning
247,new
248,returning
249,returning
250,returning
251,new
252,new
253,returning
254,new
255,new
256,new
257,returning
258,returning
259,new
260,new
261,returning
262,returning
263,new
264,new
265,returning
266,returning
267,returning
268,returning
269,new
270,new
271,returning
272,returning
273,returning
274,returning
275,new
276,new
277,returning
278,returning
279,returning
280,returning
281,returning
282,new
283,new
284,new
285,new
286,new
287,new
288,new
289,new
290,new
291,new
292,new
293,returning
294,new
295,new
296,new
297,returning
298,new
299,returning
300,new
301,new
302,new
303,new
304,returning
305,returning
306,returning
307,new
308,new
309,returning
310,new
311,new
312,new
313,new
314,returning
315,returning
316,returning
317,new
318,new
319,new
320,new
321,new
322,returning
323,returning
324,new
325,returning
326,returning
327,new
328,returning
329,new
330,new
331,new
332,returning
333,new
334,new
335,new
336,new
337,returning
338,returning
339,new
340,new
341,new
342,new
343,new
344,new
345,new
346,returning
347,returning
348,new
349,new
350,returning
351,new
352,returning
353,returning
354,new
355,new
356,returning
357,new
358,new
359,returning
360,new
361,new
362,returning
363,new
364,new
365,returning
366,new
367,returning
368,returning
369,new
370,new
371,new
372,new
373,new
374,returning
375,new
376,new
377,returning
378,new
379,returning
380,new
381,new
382,returning
383,returning
384,returning
385,returning
386,returning
387,new
388,new
389,returning
390,returning
391,returning
392,new
393,new
394,returning
395,new
396,returning
397,returning
398,new
399,returning
400,returning
401,new
402,returning
403,new
404,returning
405,new
406,returning
407,new
408,new
409,returning
410,new
411,new
412,returning
413,returning
414,new
415,returning
416,new
417,new
418,new
419,returning
420,returning
421,returning
422,returning
423,new
424,new
425,new
426,new
427,new
428,returning
429,new
430,new
431,new
432,returning
433,returning
434,new
435,new
436,returning
437,new
438,returning
439,returning
440,new
441,new
442,returning
443,new
444,new
445,returning
446,returning
447,returning
448,returning
449,new
450,new
451,returning
452,new
453,new
454,returning
455,new
456,new
457,new
458,new
459,new
460,new
461,new
462,returning
463,returning
464,new
465,returning
466,new
467,new
468,returning
469,new
470,returning
471,new
472,returning
473,new
474,returning
475,new
476,returning
477,new
478,new
479,returning
480,new
481,returning
482,returning
483,new
484,returning
485,new
486,returning
487,new
488,new
489,returning
490,returning
491,new
492,returning
493,new
494,new
495,new
496,new
497,new
498,new
499,returning
500,returning
501,returning
502,new
503,new
504,returning
505,returning
506,new
507,returning
508,returning
509,returning
510,returning
511,returning
512,new
513,returning
514,returning
515,new
516,new
517,new
518,returning
519,returning
520,new
521,new
522,new
523,returning
524,returning
525,returning
526,new
527,new
528,new
529,new
530,returning
531,returning
532,returning
533,returning
534,new
535,returning
536,returning
537,returning
538,new
539,new
540,new
541,returning
542,returning
543,new
544,returning
545,returning
546,new
547,new
548,returning
549,new
550,returning
551,new
552,returning
553,new
554,new
555,returning
556,new
557,new
558,new
559,returning
560,returning
561,returning
562,new
563,new
564,new
565,new
566,new
567,new
568,new
569,returning
570,new
571,new
572,returning
573,new
574,returning
575,returning
576,returning
577,new
578,returning
579,new
580,new
581,new
582,returning
583,new
584,new
585,returning
586,new
587,new
588,new
589,new
590,new
591,new
592,returning
593,new
594,new
595,returning
596,new
597,returning
598,new
599,new
600,new
601,new
602,new
603,new
604,new
605,new
606,new
607,new
608,new
609,new
610,returning
611,new
612,returning
613,returning
614,new
615,returning
616,returning
617,new
618,new
619,returning
620,returning
621,new
622,new
623,new
624,new
625,returning
626,new
627,new
628,returning
629,new
630,new
631,returning
632,returning
633,new
634,new
635,new
636,new
637,new
638,new
639,new
640,new
641,new
642,new
643,new
644,new
645,new
646,returning
647,new
648,returning
649,returning
650,new
651,new
652,new
653,new
654,returning
655,new
656,new
657,new
658,new
659,returning
660,new
661,new
662,returning
663,returning
664,new
665,new
666,new
667,new
668,new
669,new
670,new
671,new
672,returning
673,new
674,new
675,new
676,returning
677,new
678,new
679,returning
680,returning
681,returning
682,new
683,new
684,returning
685,returning
686,new
687,new
688,new
689,returning
690,new
691,new
692,new
693,new
694,new
695,new
696,returning
697,new
698,new
699,new
700,new
701,new
702,new
703,new
704,new
705,new
706,returning
707,new
708,returning
709,new
710,returning
711,returning
712,new
713,new
714,new
715,new
716,returning
717,returning
718,returning
719,new
720,returning
721,returning
722,new
723,new
724,returning
725,new
726,returning
727,new
728,returning
729,new
730,new
731,new
732,returning
733,returning
734,new
735,new
736,returning
737,new
738,returning
739,new
740,new
741,new
742,new
743,returning
744,new
745,new
746,returning
747,new
748,new
749,returning
750,returning
751,new
752,returning
753,returning
754,new
755,new
756,returning
757,returning
758,new
759,returning
760,returning
761,new
762,new
