user_id,date_id,hours_watched,lessons_completed,churned
1,26,6.028826196235858,2,0
2,45,4.844605201759746,1,0
3,84,2.2787556066205816,6,0
4,63,5.693215676659,5,0
5,67,1.1025481109021948,3,0
6,52,4.1270694283139635,7,0
7,68,3.24650381695919,2,0
8,26,0.6784737696881119,3,1
9,75,4.541839495142948,5,0
10,2,2.0527348424527005,3,0
11,14,4.462091919743352,6,1
12,30,1.4218138368778106,7,0
13,49,6.070699511209123,5,0
14,12,9.810822458183482,2,0
15,90,1.1029600507941484,3,0
16,44,1.420044991766854,4,0
17,33,0.9187320386745298,4,0
18,13,2.810600047261856,2,0
19,78,4.412053158337793,5,0
20,88,5.452848962713692,4,1
21,26,4.067263635327725,3,0
22,21,5.336434141172364,4,1
23,28,3.1570056128299226,6,1
24,48,2.031890064248724,3,0
25,40,1.4542041616804346,2,0
26,66,2.8947313863393105,5,0
27,73,1.4883082312177818,5,1
28,87,4.316067742021119,5,0
29,79,1.5110188879810622,3,0
30,77,2.225998477840394,7,0
31,23,6.947857491249798,3,0
32,81,7.403183356459701,3,1
33,48,7.246794415553786,2,0
34,2,3.1980837886230384,5,1
35,84,2.103494331782105,3,0
36,20,4.80090449942025,4,0
37,59,1.5407031193280218,4,1
38,46,5.641334131021543,4,0
39,3,1.9432295701277111,4,1
40,55,2.7995564997131224,5,0
41,12,5.728996224137977,4,0
42,40,0.49568833871674334,6,0
43,66,2.0160502044559374,4,1
44,78,4.383498891961229,1,1
45,16,5.081088108268503,1,0
46,83,4.509707132384259,3,0
47,34,2.7716020140316515,6,0
48,44,6.132990131099629,4,0
49,6,1.4092863454301123,1,0
50,77,1.3526907093545504,5,0
51,64,4.352432754251205,1,1
52,22,1.2633228855819545,3,0
53,18,10.033418495826226,5,1
54,12,2.0663713045060734,3,0
55,52,6.054411315070668,4,0
56,51,1.060296987397509,5,1
57,71,8.664139094710176,5,0
58,48,3.3700002087154153,2,1
59,19,2.018370914161054,4,1
60,6,2.6189859219490526,4,0
61,84,1.748714055767425,7,0
62,27,2.793423426732817,2,0
63,53,1.1243765558205685,1,0
64,48,2.074351788369885,5,0
65,7,5.974616116931346,3,0
66,59,3.903961935130429,3,0
67,69,1.3827259120235316,7,0
68,11,2.8704900294998414,4,0
69,15,7.460401099107734,5,0
70,64,2.28178847565767,5,0
71,3,1.2503177271007395,2,0
72,69,4.950465802603955,4,0
73,23,0.28259878250841686,7,0
74,53,2.6668443204794348,3,0
75,37,7.90251709524591,6,0
76,9,2.8062403820854427,8,1
77,15,6.387073400283867,6,0
78,3,1.2338736314340768,3,0
79,70,2.720308895841947,4,1
80,17,2.5191881731263863,2,1
81,26,4.762882757652825,3,0
82,21,3.511577578838244,5,0
83,72,8.614579829052301,4,0
84,21,2.177688992966393,2,0
85,11,3.4796639287752757,4,1
86,38,2.596039627131175,6,0
87,72,3.290629286560074,6,1
88,88,3.067507561670222,8,0
89,35,1.5270745472394598,0,1
90,14,5.749593864400419,5,0
91,14,1.8903786258031507,2,0
92,10,1.7763837653977521,5,0
93,12,0.7239632623026689,1,0
94,38,2.1257536496380003,2,0
95,34,1.8691566825000205,3,1
96,41,0.3666285039632898,4,0
97,10,2.7839789626449907,1,0
98,17,8.359807877879506,3,0
99,17,0.8754414687453181,5,0
100,67,3.2449174697773655,3,1
101,62,2.7317348058281987,5,0
102,1,5.2271228545117046,7,0
103,12,5.4994653737981505,3,0
104,4,12.567317071080074,3,0
105,42,4.009944973345533,6,1
106,13,1.6613281805755524,5,0
107,85,2.075892079474113,3,0
108,86,2.2584864367650135,3,1
109,4,1.935888598078198,5,0
110,82,9.747193406211945,3,0
111,69,5.31717506894322,1,1
112,19,4.733483214836684,5,0
113,2,1.2838294651283486,7,0
114,12,5.461084778929392,3,0
115,81,7.081417407888706,1,1
116,74,2.7710735918179585,4,1
117,6,2.055541742761364,4,0
118,8,8.756803463544452,8,0
119,51,1.8338022015113986,3,0
120,11,1.6713190603399364,4,0
121,63,1.4328231048034565,4,0
122,57,3.124292772476104,8,0
123,12,4.0012134381443705,3,0
124,73,6.442315138956468,2,1
125,2,4.887251949454855,3,0
126,8,4.831679588625926,5,0
127,11,7.816964743727167,5,0
128,53,1.3707946622655316,6,0
129,10,0.8210485065169253,5,0
130,85,5.0573550433221195,5,0
131,84,3.0120493746019052,6,1
132,8,6.458204625196296,0,1
133,36,3.2342969465155957,3,0
134,76,1.9963872547773276,1,0
135,14,5.109237857122843,6,0
136,54,3.5476282462415676,1,0
137,85,3.2364479522251206,7,0
