user_id,date_id,source_id,first_lesson_started,mrr_value,spend_amount
1,7,1,1,60.42531042632335,30.212655213161675
2,35,2,1,28.066628904652365,11.226651561860947
3,55,3,1,32.4160932066275,9.72482796198825
4,14,3,0,67.2031879887785,20.160956396633548
5,10,3,0,54.97012470169011,16.491037410507033
6,80,2,1,58.00101276856343,23.20040510742537
7,16,2,1,35.5596945183807,14.223877807352281
8,54,3,0,35.28519202506622,10.585557607519867
9,89,1,1,64.86887987288132,32.43443993644066
10,77,2,0,65.57566482147723,26.230265928590896
11,70,1,1,33.67520769456419,16.837603847282097
12,44,4,1,30.809442562207323,30.809442562207323
13,73,4,1,48.37110543931334,48.37110543931334
14,45,1,1,38.009773199359906,19.004886599679953
15,56,3,1,37.69734681430962,11.309204044292885
16,84,4,0,31.22932630358911,31.22932630358911
17,82,1,1,42.9734922757945,21.48674613789725
18,57,2,1,32.679578860507014,13.071831544202807
19,21,4,1,33.56898645486145,33.56898645486145
20,68,1,1,54.47587769849457,27.237938849247286
21,50,2,0,49.17202648568935,19.66881059427574
22,33,1,1,57.27318022298198,28.63659011149099
23,7,4,1,25.264498469760404,25.264498469760404
24,70,4,1,50.148209147446444,50.148209147446444
25,15,4,1,81.13456313248757,81.13456313248757
26,82,2,1,44.41591273571601,17.766365094286407
27,32,3,1,62.37123509858447,18.71137052957534
28,75,3,0,62.240102731616346,18.672030819484903
29,20,1,1,62.977979120019135,31.488989560009568
30,88,3,1,52.49992530585984,15.74997759175795
31,15,1,1,58.491289741163214,29.245644870581607
32,48,2,1,60.48520430019508,24.19408172007803
33,71,1,1,59.531690424715364,29.765845212357682
34,21,1,0,33.23872739729906,16.61936369864953
35,42,1,1,24.389232761840198,12.194616380920099
36,26,2,1,26.696246848777893,10.678498739511157
37,14,1,1,45.94760011426005,22.973800057130024
38,57,3,1,58.90890101633967,17.6726703049019
39,37,1,1,33.433830837326234,16.716915418663117
40,58,1,1,63.85955687876606,31.92977843938303
41,21,2,0,42.465872382381704,16.98634895295268
42,82,3,1,42.60867183208882,12.782601549626644
43,69,1,1,37.458395061805994,18.729197530902997
44,3,2,0,21.728204614755896,8.691281845902358
45,87,3,0,53.439711926519706,16.031913577955912
46,90,2,1,75.69001569257854,30.276006277031417
47,37,1,1,49.06003214701155,24.530016073505774
48,88,1,1,22.24052537457722,11.12026268728861
49,49,3,0,61.70514217424669,18.511542652274006
50,19,1,1,25.628030148455164,12.814015074227582
51,89,3,1,31.864484045162218,9.559345213548665
52,85,2,1,46.42492741529644,18.569970966118575
53,12,4,1,51.842651578102966,51.842651578102966
54,61,3,1,34.87003998249758,10.461011994749274
55,41,4,1,45.840259151510296,45.840259151510296
56,33,1,1,60.72743601141027,30.363718005705135
57,50,3,1,62.78268327212027,18.834804981636083
58,68,2,1,68.77184632721396,27.508738530885587
59,71,2,1,78.6412797844024,31.456511913760963
60,86,2,1,62.148339824916754,24.859335929966704
61,33,3,0,46.7489522839364,14.024685685180918
62,81,4,0,62.889706866844584,62.889706866844584
63,24,3,0,57.00074351007773,17.10022305302332
64,61,2,1,57.595504662893816,23.03820186515753
65,61,2,1,52.658281776075285,21.063312710430115
66,28,3,0,36.319188467691404,10.89575654030742
67,58,1,1,34.578553882671045,17.289276941335523
68,43,1,1,48.54322698387286,24.27161349193643
69,41,1,1,52.23365113769558,26.11682556884779
70,39,1,1,39.808386156024305,19.904193078012153
71,86,1,1,56.35012922912863,28.175064614564317
72,49,1,0,81.21148856058784,40.60574428029392
73,17,1,1,23.835039210826135,11.917519605413068
74,70,1,1,58.73366716345641,29.366833581728205
75,70,4,1,49.010380686637845,49.010380686637845
76,65,2,1,56.75983333001982,22.70393333200793
77,74,1,1,43.539279493095634,21.769639746547817
78,85,2,0,47.809101724292496,19.123640689717
79,5,1,0,51.942506765121486,25.971253382560743
80,2,4,1,45.47549174697109,45.47549174697109
81,22,3,1,27.191880239451518,8.157564071835456
82,57,1,0,46.4912745403332,23.2456372701666
83,66,2,1,28.75349557705709,11.501398230822836
84,74,3,1,59.797896658704644,17.939368997611393
85,16,4,1,22.016823483828166,22.016823483828166
86,51,2,1,65.42981569183834,26.171926276735338
87,39,2,1,56.44344500305219,22.57737800122088
88,86,1,1,56.50082923600842,28.25041461800421
89,76,4,0,17.535351982282407,17.535351982282407
90,88,1,1,45.071008428626655,22.535504214313328
91,40,4,1,67.3034514298979,67.3034514298979
92,38,2,1,42.22088031454558,16.888352125818233
93,60,2,1,33.82906775054429,13.531627100217717
94,59,2,1,40.449948574914316,16.179979429965726
95,10,1,1,48.97583566040993,24.487917830204964
96,64,1,1,37.22944324530783,18.614721622653914
97,63,1,1,68.5072584813394,34.2536292406697
98,49,1,0,49.029987050144115,24.514993525072057
99,64,3,1,41.666459780781075,12.499937934234323
100,32,1,1,30.479847097466312,15.239923548733156
101,7,1,0,57.26669907918407,28.633349539592036
102,21,4,1,56.92499442067045,56.92499442067045
103,20,3,1,38.11686640722962,11.435059922168886
104,26,4,1,16.45506457528782,16.45506457528782
105,68,4,1,56.161432843638266,56.161432843638266
106,86,1,1,47.19794913108497,23.598974565542484
107,15,1,1,55.041067518885036,27.520533759442518
108,85,3,1,79.35761800459457,23.80728540137837
