user_id,sign_up_date,acquisition_source,first_lesson_started,hours_watched,lessons_completed,churned,mrr_value,survey_score,reactivation_email_sent
1,2025-01-01,social,0,1.5414614471808332,3,1,50.515000828532536,4,0
2,2025-01-01,paid_ad,1,1.6217190055218869,4,1,44.56251495676897,4,0
3,2025-01-01,email,1,6.29237429693212,3,0,64.21267862863351,3,0
4,2025-01-01,search,1,1.6598695865188504,5,1,60.1204246671293,4,0
5,2025-01-01,social,1,3.278467030989879,5,0,40.72452469933805,4,1
6,2025-01-01,social,1,1.7523207656377386,4,0,38.076595294974645,3,1
7,2025-01-01,social,1,0.17446808158005533,8,0,18.914672274560026,4,0
8,2025-01-01,email,1,6.176595819641154,4,0,52.31047762525381,4,0
9,2025-01-01,search,1,3.5093117087710186,3,1,48.75953382472402,3,1
10,2025-01-01,email,1,4.850825053798059,5,0,67.04287061963812,3,0
11,2025-01-02,social,1,0.7076597997674791,9,0,55.385826402205495,3,0
12,2025-01-02,paid_ad,1,2.1454265463264273,5,0,70.01343791259035,3,0
13,2025-01-02,email,1,5.833436822634812,2,0,39.53953658125744,4,0
14,2025-01-02,social,0,1.0303768149943262,5,0,67.07225496451427,4,1
15,2025-01-02,social,1,4.688510710996042,2,0,42.06625431343017,5,1
16,2025-01-02,social,1,3.2421517007716,2,0,61.66394092688408,3,0
17,2025-01-02,social,0,1.773631221756119,5,0,28.118624112039598,3,0
18,2025-01-02,search,1,1.6484219206284407,2,0,53.52702949049283,4,0
19,2025-01-02,search,1,1.3382776878809524,5,0,20.22968087831135,4,0
20,2025-01-02,social,0,3.4951397540180107,1,0,45.99293771087368,4,1
21,2025-01-03,search,1,3.8099730547861372,3,0,56.60530990816871,2,0
22,2025-01-03,social,1,2.4726409511746446,3,1,42.18547173153356,3,0
23,2025-01-03,social,1,1.2606913508722177,2,0,34.24343556866049,3,1
24,2025-01-03,social,1,4.5923561067041545,6,0,62.691777039439,5,1
25,2025-01-03,search,1,6.25439443525262,2,0,48.44805815229615,3,1
26,2025-01-03,email,1,5.201169548211523,0,0,42.65644029453993,5,0
27,2025-01-03,social,1,11.96771210979425,5,0,50.62843881731415,4,0
28,2025-01-03,search,1,2.8830464509721194,2,0,89.55003712918383,3,0
29,2025-01-03,search,1,8.292558048253936,5,0,67.30254274672316,4,0
30,2025-01-03,social,1,1.928175194589941,1,0,67.4386050228176,4,1
31,2025-01-04,search,0,1.6663453142456666,5,0,56.53319478488546,5,0
32,2025-01-04,social,1,3.660204647257573,5,0,52.49727908865721,3,1
33,2025-01-04,social,1,9.534016895813087,5,0,14.058765675043755,3,0
34,2025-01-04,paid_ad,0,2.6352233226692294,8,0,39.81529480305302,3,1
35,2025-01-04,paid_ad,0,0.7070673417439453,4,0,42.79138380196288,1,0
36,2025-01-04,email,1,6.172952071304558,5,0,21.876619039287004,4,1
37,2025-01-04,social,1,3.136370582513636,6,0,32.6387631467685,5,0
38,2025-01-04,social,1,4.165742179670989,5,0,20.287452936160488,3,0
39,2025-01-04,search,0,1.744630399381627,4,0,49.42514246453941,4,1
40,2025-01-04,search,1,3.634433118665514,2,0,62.28148956273224,4,0
41,2025-01-05,social,1,0.828096781029649,7,0,66.60161777936493,3,0
42,2025-01-05,search,1,10.886855623313703,2,0,56.22176693118862,2,1
43,2025-01-05,social,1,6.971963479159116,4,0,35.549054882021466,4,0
44,2025-01-05,paid_ad,1,3.511623014924243,3,0,21.01902262220061,5,0
45,2025-01-05,social,1,6.055583841971271,4,0,23.64696950897747,4,0
46,2025-01-05,search,1,1.9325062200762977,5,0,30.965261341182522,1,1
47,2025-01-05,social,1,6.762584408660469,2,0,36.66710452946488,3,0
48,2025-01-05,search,0,2.5415106986783855,7,0,47.6037725301262,2,0
49,2025-01-05,search,1,2.3959653062727795,2,0,34.787536728095475,4,0
50,2025-01-05,social,0,1.4253960483404247,5,0,55.084638405023924,4,0
51,2025-01-06,paid_ad,1,4.551046738293762,1,0,46.515897458007906,2,0
52,2025-01-06,email,1,3.396259571431537,3,0,50.15818567611539,4,0
53,2025-01-06,paid_ad,1,8.470852068374828,1,0,67.10375829006807,4,0
54,2025-01-06,email,1,1.2738968464586402,4,0,32.29652398699445,4,0
55,2025-01-06,search,1,4.566023729367841,5,0,56.28056867438553,5,0
56,2025-01-06,paid_ad,1,7.43512918574623,5,0,49.7904015728589,2,0
57,2025-01-06,social,1,3.8608430429567573,3,0,44.99770578545457,5,0
58,2025-01-06,social,1,2.5020854072411933,4,1,63.2788448129894,2,0
59,2025-01-06,social,1,3.7874914129045654,4,0,63.18521231835511,3,0
60,2025-01-06,social,1,8.023978291843818,9,0,35.80263806017358,5,0
61,2025-01-07,social,1,8.021740995960691,5,1,47.26759124213114,5,0
62,2025-01-07,social,1,3.0376807214200388,5,0,54.21817523876098,4,1
63,2025-01-07,email,1,7.9288082452831805,7,0,45.90489877966123,4,0
64,2025-01-07,social,1,3.2746361963859307,3,1,58.77531998431697,4,0
65,2025-01-07,social,1,6.008982848908743,2,0,54.217880268654135,4,0
66,2025-01-07,search,1,4.953648844091555,7,0,77.48841860534019,2,0
67,2025-01-07,social,1,2.42068462390372,7,0,27.045812961053187,4,1
68,2025-01-07,email,0,1.4738762476511271,5,0,48.16346015378904,4,0
69,2025-01-07,social,1,7.5671356066177715,6,0,36.37246232731713,4,0
70,2025-01-07,paid_ad,1,9.006312222162494,5,0,59.06161183158566,3,0
71,2025-01-08,email,1,4.48820112222989,2,1,25.74242164931683,4,0
72,2025-01-08,social,1,3.2712500184372697,5,1,55.1946906533733,5,0
73,2025-01-08,social,0,1.121779069193317,7,1,40.54927352977488,4,0
74,2025-01-08,email,0,7.436422247960096,6,0,38.987572008184785,5,1
75,2025-01-08,email,1,4.119585262982678,2,1,28.302526946889692,3,0
76,2025-01-08,email,1,2.708535643498367,6,0,43.023860806984906,4,0
77,2025-01-08,email,1,6.127071818496473,3,0,66.26750795436388,4,0
78,2025-01-08,social,1,0.925890168443563,5,0,49.62216974705781,4,0
79,2025-01-08,social,1,1.3601628836835231,4,1,59.41520626811712,4,0
80,2025-01-08,social,1,1.8717664014966926,2,0,74.96962732949413,4,0
81,2025-01-09,email,1,4.844092706053473,5,0,53.95633377233864,5,0
82,2025-01-09,search,0,3.8188435434931884,6,0,41.61800641906489,4,0
83,2025-01-09,social,1,5.255430084270765,6,0,57.008783227741844,2,1
84,2025-01-09,social,1,7.097929479446485,3,0,41.835557805285625,4,0
85,2025-01-09,social,1,5.388938092270047,4,0,42.43365975054246,3,1
86,2025-01-09,social,1,11.038654098000254,4,0,27.20160800571523,3,0
87,2025-01-09,email,1,7.086742174365523,5,0,63.893862366265886,5,0
88,2025-01-09,search,0,3.0320714914578084,2,0,44.20996136525841,3,1
89,2025-01-09,email,1,2.1333703231006567,1,0,52.73147368723793,4,0
90,2025-01-09,search,1,3.104999010865925,1,0,34.46057107090041,3,1
91,2025-01-10,social,1,5.5211664883272356,7,0,56.539214445732085,1,1
92,2025-01-10,email,1,2.3306058429355625,7,0,38.57088142797374,4,0
93,2025-01-10,email,1,5.627966552372193,5,0,47.87436917447263,2,0
94,2025-01-10,search,1,5.188027205391078,5,0,63.16739046858689,4,0
95,2025-01-10,email,1,1.454438237165181,2,0,61.861389683487936,3,1
96,2025-01-10,search,0,6.997052096053609,1,0,49.669548912245894,3,1
97,2025-01-10,search,1,4.374441299713838,6,0,23.478034509399226,2,0
98,2025-01-10,search,0,10.68849209934222,3,1,94.89215855090961,3,0
99,2025-01-10,social,1,3.2834431203930077,3,0,76.18788455409704,4,0
100,2025-01-10,social,1,2.610206175632505,3,0,60.840122373324476,3,0
101,2025-01-11,social,0,1.2857784990139507,2,0,38.70194327613544,4,0
102,2025-01-11,search,1,1.2665555884723012,4,1,48.29611757447053,5,0
103,2025-01-11,social,1,6.438315191705523,3,0,41.84869355335225,4,0
104,2025-01-11,search,1,9.988125412808245,7,0,68.95783908644582,4,0
105,2025-01-11,paid_ad,1,3.070854321669721,4,0,53.937543362777504,2,1
106,2025-01-11,social,0,2.916161959702928,3,0,38.237542124602506,3,1
107,2025-01-11,search,1,3.5174985022962364,5,0,42.93867351312827,5,1
108,2025-01-11,email,1,7.3232604566303605,2,0,66.81782213854856,4,1
109,2025-01-11,social,1,1.4664813133141015,4,0,74.00146770230718,4,0
110,2025-01-11,social,0,3.9874563735773427,3,0,72.92497345229368,4,0
111,2025-01-12,social,1,6.538502979017928,5,0,61.35548097580966,3,0
112,2025-01-12,social,1,4.801769208211119,2,0,46.21062696796045,1,1
113,2025-01-12,paid_ad,1,0.0918379522191268,6,0,10.0,4,1
114,2025-01-12,email,1,5.407815929088347,3,1,54.457400357123326,4,1
115,2025-01-12,search,1,4.835136657850516,4,0,49.972568617338496,4,1
116,2025-01-12,email,1,8.28678601111753,5,0,52.09973144482032,5,0
117,2025-01-12,email,0,9.46964920615801,4,0,50.80846020549809,3,0
118,2025-01-12,social,1,8.01154161142608,4,0,30.106067570762644,3,0
119,2025-01-12,email,1,3.5319202691723595,2,1,58.361128352767786,5,0
120,2025-01-12,search,0,0.6720526823664298,3,0,59.483244710477756,4,0
121,2025-01-13,email,1,2.8995097967576506,2,0,60.23508173089489,4,0
122,2025-01-13,email,1,3.4471865710128586,1,1,64.1986550536008,2,0
123,2025-01-13,social,1,9.904842698406307,3,0,59.06077467382435,3,0
124,2025-01-13,social,1,1.7603064968468,4,1,43.849558826916336,4,0
125,2025-01-13,social,1,0.954716247923139,4,0,48.93744728125865,3,0
126,2025-01-13,search,1,2.3432069462277196,7,1,51.36687300880065,4,0
127,2025-01-13,email,0,1.8460931225996136,2,0,51.615491736599274,5,0
128,2025-01-13,email,1,0.8611381655775641,5,0,64.97326483957595,4,0
129,2025-01-13,social,1,3.1233270918800455,8,1,59.65503129533736,3,1
130,2025-01-13,search,1,3.5507548832107645,9,0,81.1601515935493,4,0
131,2025-01-14,search,1,0.8085860059914317,2,0,83.09703469827008,3,0
132,2025-01-14,social,1,2.5970028143017623,4,0,51.194743739208874,3,1
133,2025-01-14,social,0,1.7440178106975417,4,1,10.0,1,1
134,2025-01-14,social,1,3.6392373819683166,6,0,68.55248699190899,3,1
135,2025-01-14,paid_ad,1,3.914662538935987,5,1,41.894354915194185,5,0
136,2025-01-14,social,0,1.7443314580351454,1,0,37.9777411725349,3,0
137,2025-01-14,search,1,6.9549131830256306,2,0,44.0233208751595,3,0
138,2025-01-14,email,1,3.3886631198873847,6,1,43.300354297780906,5,0
139,2025-01-14,social,1,1.8183969131194564,5,0,59.18404715158089,1,1
140,2025-01-14,paid_ad,1,0.7534843126406969,4,0,26.60846331310662,4,0
141,2025-01-15,paid_ad,1,4.071716167088343,5,0,33.83418881312598,3,0
142,2025-01-15,social,1,4.82694404128198,4,0,55.14737831296125,1,0
143,2025-01-15,search,1,2.2351727097895147,4,0,59.344160456199624,5,0
144,2025-01-15,social,1,3.726898211633622,1,0,59.62312467404018,2,0
145,2025-01-15,social,1,9.469350736734006,8,0,38.19445581600051,4,1
146,2025-01-15,social,1,6.226565408689468,2,0,35.3260152610064,3,1
147,2025-01-15,search,1,0.2925577479180122,4,0,42.400477493181214,2,1
148,2025-01-15,search,1,1.7999345266508164,7,0,53.59809128427088,1,0
149,2025-01-15,social,1,3.005785145385176,6,0,72.28216053908824,2,0
150,2025-01-15,social,1,3.535727560354754,3,1,19.288442213438746,2,0
151,2025-01-16,paid_ad,1,3.7880360122299934,5,0,46.6890686456245,4,0
152,2025-01-16,social,1,4.609579480849992,5,0,30.009823384621946,4,1
153,2025-01-16,social,1,3.0852046355069764,3,0,25.216359839697652,3,0
154,2025-01-16,search,1,3.3822401069704022,3,0,64.50434968017225,3,1
155,2025-01-16,paid_ad,1,6.449650781475664,5,1,58.16936861749008,5,0
156,2025-01-16,social,1,4.131003091401673,1,0,56.74150273920893,5,0
157,2025-01-16,search,0,1.1664744257057489,4,0,63.8153875959649,4,0
158,2025-01-16,email,1,3.621563503590047,2,0,42.80421654850796,5,0
159,2025-01-16,social,1,3.0123436487746127,1,0,43.51043725499708,3,1
160,2025-01-16,email,0,0.4529429646781482,2,0,82.78595925083862,3,0
161,2025-01-17,social,1,3.763351192814912,4,0,46.301434186106384,4,1
162,2025-01-17,search,0,1.3216906130624504,4,1,61.026981695811365,4,1
163,2025-01-17,search,1,6.515304965126011,2,1,50.095723114449726,4,0
164,2025-01-17,search,1,4.562480982086308,9,0,22.276122048823773,3,1
